"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://zibdigital.com.au/your-style.css?v=2","text/html; charset=UTF-8","302","Found","Non-Indexable","Redirected","","44","","https://zibdigital.com.au/your-style.css?v=2"
"https://zibdigital.com.au/social-media-marketing-agency-melbourne/","text/html; charset=UTF-8","200","OK","Indexable","","9dc63594b9a35de36e0c2f2c8bb75456","66","https://zibdigital.com.au/social-media-marketing-agency-melbourne/","https://zibdigital.com.au/social-media-marketing-agency-melbourne/"
"https://zibdigital.com.au/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17","application/javascript","200","OK","Indexable","","","95","","https://zibdigital.com.au/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17"
"https://zibdigital.com.au/social-media-marketing-agency-adelaide/","text/html; charset=UTF-8","200","OK","Indexable","","70d97554e14283090d886883f1d72dbf","65","https://zibdigital.com.au/social-media-marketing-agency-adelaide/","https://zibdigital.com.au/social-media-marketing-agency-adelaide/"
"https://zibdigital.com.au/wp-content/uploads/2022/12/morphyrichards-b12.jpg","image/jpeg","200","OK","Indexable","","","75","","https://zibdigital.com.au/wp-content/uploads/2022/12/morphyrichards-b12.jpg"
"https://zibdigital.com.au/social-media-marketing-agency-sydney/","text/html; charset=UTF-8","200","OK","Indexable","","7b88a7df23fe4007a9e3377af7d12965","63","https://zibdigital.com.au/social-media-marketing-agency-sydney/","https://zibdigital.com.au/social-media-marketing-agency-sydney/"
"https://zibdigital.com.au/casestudy/liberty-financial/","text/html; charset=UTF-8","200","OK","Indexable","","8bc12c2e98c043552184775a14a64624","54","https://zibdigital.com.au/casestudy/liberty-financial/","https://zibdigital.com.au/casestudy/liberty-financial/"
"https://zibdigital.com.au/wp-content/plugins/date-time-picker-for-contact-form-7/assets/css/jquery.datetimepicker.min.css?ver=1.0.0","text/css","200","OK","Indexable","","","131","","https://zibdigital.com.au/wp-content/plugins/date-time-picker-for-contact-form-7/assets/css/jquery.datetimepicker.min.css?ver=1.0.0"
"https://zibdigital.com.au/wp-content/plugins/widget-google-reviews/assets/6.9.6/css/public-main.css","text/css","200","OK","Indexable","","","99","","https://zibdigital.com.au/wp-content/plugins/widget-google-reviews/assets/6.9.6/css/public-main.css"
"https://zibdigital.com.au/meet-the-team/","text/html; charset=UTF-8","200","OK","Indexable","","bbb333848e78ff322e16f293181166db","40","https://zibdigital.com.au/meet-the-team/","https://zibdigital.com.au/meet-the-team/"
"https://zibdigital.com.au/wp-content/uploads/2022/11/Path-170.png","image/png","200","OK","Indexable","","","65","","https://zibdigital.com.au/wp-content/uploads/2022/11/Path-170.png"
"https://zibdigital.com.au/wp-content/uploads/2022/12/fruitbox-b1.jpg","image/jpeg","200","OK","Indexable","","","68","","https://zibdigital.com.au/wp-content/uploads/2022/12/fruitbox-b1.jpg"
"https://zibdigital.com.au/web-graphic-design-adelaide/","text/html; charset=UTF-8","200","OK","Indexable","","15fab7d3469054ae3dea2cd04a94408","54","https://zibdigital.com.au/web-graphic-design-adelaide/","https://zibdigital.com.au/web-graphic-design-adelaide/"
"https://zibdigital.com.au/wp-content/uploads/2022/11/client.png","image/png","200","OK","Indexable","","","63","","https://zibdigital.com.au/wp-content/uploads/2022/11/client.png"
"https://zibdigital.com.au/wp-content/uploads/2022/11/Stat-phone.png","image/png","200","OK","Indexable","","","67","","https://zibdigital.com.au/wp-content/uploads/2022/11/Stat-phone.png"
"https://zibdigital.com.au/wp-content/uploads/2022/11/Mask-Group-18-1.png","image/png","200","OK","Indexable","","","72","","https://zibdigital.com.au/wp-content/uploads/2022/11/Mask-Group-18-1.png"
"https://zibdigital.com.au/wp-content/plugins/popup-maker/dist/assets/site.js?defer&ver=1.22.0","application/javascript","200","OK","Indexable","","","93","","https://zibdigital.com.au/wp-content/plugins/popup-maker/dist/assets/site.js?defer&ver=1.22.0"
"https://zibdigital.com.au/wp-content/uploads/2022/12/netballaustralia-b15.jpg","image/jpeg","200","OK","Indexable","","","77","","https://zibdigital.com.au/wp-content/uploads/2022/12/netballaustralia-b15.jpg"
"https://zibdigital.com.au/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3","application/javascript","200","OK","Indexable","","","73","","https://zibdigital.com.au/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3"
"https://zibdigital.com.au/wp-content/plugins/hubspot-wp-plugin/public/js/hubspot-wp-plugin-public.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","110","","https://zibdigital.com.au/wp-content/plugins/hubspot-wp-plugin/public/js/hubspot-wp-plugin-public.js?ver=1.0.0"
